mesa_id,i
0100301056X,25275
0100301057X,25276
0100301058X,25277
0100301059X,25278
0100301060X,25279
0100301061X,25280
0100301062X,25281
0100301063X,25282
0100301064X,25283
0100301065X,25284
0100301066X,25285
0100301067X,25286
0100301068X,25287
0100301069X,25288
0100301070X,25289
0100301071X,25290
0100301072X,25291
0100301073X,25292
0100301074X,25293
0100301075X,25294
0100301076X,25295
0100301077X,25296
0100301078X,25297
0100301079X,25298
0100301080X,25299
0100301081X,25300
0100301082X,25301
0100301083X,25302
0100301084X,25303
0100301085X,25304
0100301086X,25305
0100301087X,25306
0100301088X,25307
0100301089X,25308
0100301090X,25309
0100301091X,25310
0100301092X,25311
0100301093X,25312
0100301094X,25313
0100301095X,25314
0100301096X,25315
0100301097X,25316
0100301098X,25317
0100301099X,25318
0100301100X,25319
0100301101X,25320
0100301102X,25321
0100301103X,25322
0100301104X,25323
0100301105X,25324
0100301106X,25325
0100301107X,25326
0100301108X,25327
0100301109X,25328
0100301110X,25329
0100301111X,25330
0100301112X,25331
0100301113X,25332
0100301114X,25333
0100301115X,25334
0100301116X,25335
0100301117X,25336
0100301118X,25337
0100301119X,25338
0100301120X,25339
0100301121X,25340
0100301122X,25341
0100301123X,25342
0100301124X,25343
0100301125X,25344
0100301126X,25345
0100301127X,25346
0100301128X,25347
0100301129X,25348
0100301130X,25349
0100301131X,25350
0100301132X,25351
0100301133X,25352
0100301134X,25353
0100301135X,25354
0100301136X,25355
0100301137X,25356
0100301138X,25357
0100301139X,25358
0100301140X,25359
0100301141X,25360
0100301142X,25361
0100301143X,25362
0100301144X,25363
0100301145X,25364
0100301146X,25365
0100301147X,25366
0100301148X,25367
0100301149X,25368
0100301150X,25369
0100301151X,25370
0100301152X,25371
0100301153X,25372
0100301154X,25373
0100301155X,25374
0100301156X,25375
0100301157X,25376
0100301158X,25377
0100301159X,25378
0100301160X,25379
0100301161X,25380
0100301162X,25381
0100301163X,25382
0100301164X,25383
0100301165X,25384
0100301166X,25385
0100301167X,25386
0100301168X,25387
0100301169X,25388
0100301170X,25389
0100301171X,25390
0100301172X,25391
0100301173X,25392
0100301174X,25393
0100301175X,25394
0100301176X,25395
0100301177X,25396
0100301178X,25397
0100301179X,25398
0100301180X,25399
0100301181X,25400
0100301182X,25401
0100301183X,25402
0100301184X,25403
0100301185X,25404
0100301186X,25405
0100301187X,25406
0100301188X,25407
0100301189X,25408
0100301190X,25409
0100301191X,25410
0100301192X,25411
0100301193X,25412
0100301194X,25413
0100301195X,25414
0100301196X,25415
0100301197X,25416
0100301198X,25417
0100301199X,25418
0100301200X,25419
0100301201X,25420
0100301202X,25421
0100301203X,25422
0100301204X,25423
0100301205X,25424
0100301206X,25425
0100301207X,25426
0100301208X,25427
0100301209X,25428
0100301210X,25429
0100301211X,25430
0100301212X,25431
0100301213X,25432
0100301214X,25433
0100301215X,25434
0100301216X,25435
0100301217X,25436
0100301218X,25437
0100301219X,25438
0100301220X,25439
0100301221X,25440
0100301222X,25441
0100301223X,25442
0100301224X,25443
0100301225X,25444
0100301226X,25445
0100301227X,25446
0100301228X,25447
0100301229X,25448
0100301230X,25449
0100301231X,25450
0100301232X,25451
0100301233X,25452
0100301234X,25453
0100301235X,25454
0100301236X,25455
0100301237X,25456
0100301238X,25457
0100301239X,25458
0100301240X,25459
0100301241X,25460
0100301242X,25461
0100301243X,25462
0100301244X,25463
0100301245X,25464
0100301246X,25465
0100301247X,25466
0100301248X,25467
0100301249X,25468
0100301250X,25469
0100301251X,25470
0100301252X,25471
0100301253X,25472
0100301254X,25473
0100301255X,25474
0100301256X,25475
0100301257X,25476
0100301258X,25477
0100301259X,25478
0100301260X,25479
0100301261X,25480
0100301262X,25481
0100301263X,25482
0100301264X,25483
0100301265X,25484
0100301266X,25485
0100301267X,25486
0100301268X,25487
0100301269X,25488
0100301270X,25489
0100301271X,25490
0100301272X,25491
0100301273X,25492
0100301274X,25493
0100301275X,25494
0100301276X,25495
0100301277X,25496
0100301278X,25497
0100301279X,25498
0100301280X,25499
0100301281X,25500
0100301282X,25501
0100301283X,25502
0100301284X,25503
0100301285X,25504
0100301286X,25505
0100301287X,25506
0100301288X,25507
0100301289X,25508
0100301290X,25509
0100301291X,25510
0100301292X,25511
0100301293X,25512
0100301294X,25513
0100301295X,25514
0100301296X,25515
0100301297X,25516
0100301298X,25517
0100301299X,25518
0100301300X,25519
0100301301X,25520
0100301302X,25521
0100301303X,25522
0100301304X,25523
0100301305X,25524
0100301306X,25525
0100301307X,25526
0100301308X,25527
0100301309X,25528
0100301310X,25529
0100301311X,25530
0100301312X,25531
0100301313X,25532
0100301314X,25533
0100301315X,25534
0100301316X,25535
0100301317X,25536
0100301318X,25537
0100301319X,25538
0100301320X,25539
0100301321X,25540
0100301322X,25541
0100301323X,25542
0100301324X,25543
0100301325X,25544
0100301326X,25545
0100301327X,25546
0100301328X,25547
0100301329X,25548
0100301330X,25549
0100301331X,25550
0100301332X,25551
0100301333X,25552
0100301334X,25553
0100301335X,25554
0100301336X,25555
0100301337X,25556
0100301338X,25557
0100301339X,25558
0100301340X,25559
0100301341X,25560
0100301342X,25561
0100301343X,25562
0100301344X,25563
0100301345X,25564
0100301346X,25565
0100301347X,25566
0100301348X,25567
0100301349X,25568
0100301350X,25569
0100301351X,25570
0100301352X,25571
0100301353X,25572
0100301354X,25573
0100301355X,25574
0100301356X,25575
0100301357X,25576
0100301358X,25577
0100301359X,25578
0100301360X,25579
0100301361X,25580
0100301362X,25581
0100301363X,25582
0100301364X,25583
0100301365X,25584
0100401366X,25721
0100401367X,25722
0100401368X,25723
0100401369X,25724
0100401370X,25725
0100401371X,25726
0100401372X,25727
0100401373X,25728
0100401374X,25729
0100401375X,25730
0100401376X,25731
0100401377X,25732
0100401378X,25733
0100401379X,25734
0100401380X,25735
0100401381X,25736
0100401382X,25737
0100401383X,25738
0100401384X,25739
0100401385X,25740
0100401386X,25741
0100401387X,25742
0100401388X,25743
0100401389X,25744
0100401390X,25745
0100401391X,25746
0100401392X,25747
0100401393X,25748
0100401394X,25749
0100401395X,25750
0100401396X,25751
0100401397X,25752
0100401398X,25753
0100401399X,25754
0100401400X,25755
0100401401X,25756
0100401402X,25757
0100401403X,25758
0100401404X,25759
0100401405X,25760
0100401406X,25761
0100401407X,25762
0100401408X,25763
0100401409X,25764
0100401410X,25765
0100401411X,25766
0100401412X,25767
0100401413X,25768
0100401414X,25769
0100401415X,25770
0100401416X,25771
0100401417X,25772
0100401418X,25773
0100401419X,25774
0100401420X,25775
0100401421X,25776
0100401422X,25777
0100401423X,25778
0100401424X,25779
0100401425X,25780
0100401426X,25781
0100401427X,25782
0100401428X,25783
0100401429X,25784
0100401430X,25785
0100401431X,25786
0100401432X,25787
0100401433X,25788
0100401434X,25789
0100401435X,25790
0100401436X,25791
0100401437X,25792
0100401438X,25793
0100401439X,25794
0100401440X,25795
0100401441X,25796
0100401442X,25797
0100401443X,25798
0100401444X,25799
0100401445X,25800
0100401446X,25801
0100401447X,25802
0100401448X,25803
0100401449X,25804
0100401450X,25805
0100401451X,25806
0100401452X,25807
0100401453X,25808
0100401454X,25809
0100401455X,25810
0100401456X,25811
0100401457X,25812
0100401458X,25813
0100401459X,25814
0100401460X,25815
0100401461X,25816
0100401462X,25817
0100401463X,25818
0100401464X,25819
0100401465X,25820
0100401466X,25821
0100401467X,25822
0100401468X,25823
0100401469X,25824
0100401470X,25825
0100401471X,25826
0100401472X,25827
0100401473X,25828
0100401474X,25829
0100401475X,25830
0100401476X,25831
0100401477X,25832
0100401478X,25833
0100401479X,25834
0100401480X,25835
0100401481X,25836
0100401482X,25837
0100401483X,25838
0100401484X,25839
0100401485X,25840
0100401486X,25841
0100401487X,25842
0100401488X,25843
0100401489X,25844
0100401490X,25845
0100401491X,25846
0100401492X,25847
0100401493X,25848
0100401494X,25849
0100401495X,25850
0100401496X,25851
0100401497X,25852
0100401498X,25853
0100401499X,25854
0100401500X,25855
0100401501X,25856
0100401502X,25857
0100401503X,25858
0100401504X,25859
0100401505X,25860
0100401506X,25861
0100401507X,25862
0100401508X,25863
0100401509X,25864
0100401510X,25865
0100401511X,25866
0100401512X,25867
0100401513X,25868
0100401514X,25869
0100401515X,25870
0100401516X,25871
0100401517X,25872
0100401518X,25873
0100401519X,25874
0100401520X,25875
0100401521X,25876
0100401522X,25877
0100401523X,25878
0100401524X,25879
0100401525X,25880
0100401526X,25881
0100401527X,25882
0100401528X,25883
0100401529X,25884
0100401530X,25885
0100401531X,25886
0100401532X,25887
0100401533X,25888
0100401534X,25889
0100401535X,25890
0100401536X,25891
0100401537X,25892
0100401538X,25893
0100401539X,25894
0100401540X,25895
0100401541X,25896
0100401542X,25897
0100401543X,25898
0100401544X,25899
0100401545X,25900
0100401546X,25901
0100401547X,25902
0100401548X,25903
0100401549X,25904
0100401550X,25905
